Hindi	Telugu	Similarity_Score
" मान व अनु भ व में सबसे अस थ िर ध व नि खा मो श ी है . . .	పర క ృ తి రో ది సత ూ బర తి మ ాలు తరు ణ ంలో మా న వు నికి ఎ దు ర వ వు	0.6836
शायद तुम मेरे लिए उन में से कुछ की पु ष टि या ख ंड न कर सकती हो .	బహు శా వాటి లో కొనని ంటి ని నువవు రూ ఢ ీ చేయ వచచు , లేదా తి ర స కరి ంచ వచచు .	0.6299
घ ं टी ब ज तो हमें ज वा ब देना होगा .	గ ంట మ రో గి తే , మేము స ప ంది ంచాలి .	0.5857
और अब यह बा की की आ ठ उ ँ ग लिया ँ का ट ने के बाद . . .	ఇక మి గి లు నన ఎ ని మి ది వే ళళ తో మొద లు పె డ దాం . . .	0.6936
घ ं टी ब जी तो तुमहें इस के लिए कष ट झ े ल ना होगा .	గ ంట మ రో గి తే , నువవు దా నికి మూ ల యా నని చె ల లి ంచాలి .	0.6289
जिस ने तुमहारा दिल तो डा और फिर तुमहें छोड दिया .	అదే నీ మన సు ను వి రి చేసి , నినను వది లే సిన వాడు .	0.5327
रे श म श र मि को ं की प ं क ति यों के बी च ग श त लगा ते हुए .	ప టటు కార మి కు ల వ రు స ల మ ధయ ప హా రా కా సత ూ ఉననా రు .	0.7037
मैंने तुमसे तुमहारी आ ँ ख ें माँ गी थी ं , चु डै ल , तुमहारी रा य नहीं .	నీ క ళళ సా య మే అ డి గా ను , మా ంత రి కు డా , నీ అ భి పరా యా నని అ డ గ లేదు .	0.6510
वह मेरे साथ है .	అతను నా మని షి .	0.4864
कया वह उ ल लू है ?	అది గు డ ల గ ూ బ నా ?	0.6067
और इस के साथ सच चे वि ध र मि यों को भी खतम कर दिया .	దాని తో పా టు అస లె న పా పు లను తీసు కె ళ లి పోయా రు .	0.6134
कयोंकि मैं तुमहारा पिता हूँ .	ఎందుకంటే నేను మీ త ండ రి ని కను క .	0.4879
वे हमेशा तुमहारे सोच ने से अ धि क जानते हैं .	నువవు అను కు నన దాని క ననా ఎ కకు వే తెలుసు వాళళ కి .	0.5660
मैं खा मो श ी में आगे बढ सकती हूँ . तुम नहीं .	శ బ ద ం చేయ కుండా నేను వెళళ గల ను . నువవు వెళళ లే వు .	0.5832
वे दोनों बिलकुल एक जैसे थे .	వారి దద రూ సరి గ గా ఒక ే లా ఉంటా రు .	0.5357
तुमहारे पास उन पर हा वी होने के लिए पर या प त सै निक हैं , है न ?	వారి ని ఓ డి ంచ డానికి చ ాలి న ంత మ ను ష ు లు మీ దగగర ఉననా రు కదా ?	0.6430
अपनी माँ को हमेशा याद रख ना .	మీ అమమ ని ఎ పపటి కీ మరి చి పో వదదు .	0.4677
वह यहाँ से त व रि त ग ति से कुछ ही दिन दू र हैं .	వే గ ంగా వెళ తే , కొనని రోజు లలో వెళలి పో వచచు .	0.5959
बहुत दिन हो गए हैं , और मेरे लोगों को उन का कोई सं के त नहीं मि ला है .	ఇ పపటి కి చాలా రోజు లు గ డి చా యి , కానీ మా వే గు వాళళ కి వారి జా డ తెలియ డం లేదు .	0.6182
आपको लगता है कि यह सर ल है .	అది తే లి క అని అనుకుంటుననా వు .	0.4895
कया ह नि वा ने तुमसे बात की ?	నీ తో హ నీ వా ఏ మెనా మాటలా డి ందా ?	0.4959
लै व ें डर की मह क खतम हो गई है .	లా వె ండ ర వా స న తెలియ డం లేదు .	0.5813
तुम ह नि वा हो ?	నువవు హ నీ వా నా ?	0.4567
आप जे र ला म रे ल को बता सकते हो कि उनके बे टा और बे टी कयों इ तनी दू र आए	అతని కొ డు కూ , కూ తు రూ ఇంత ద ూ రం వచచి ంది , తిరిగి వెన క కి వెళలి పో వ డా ని కే అని	0.6376
- पिता जी . - को फ ु न , नहीं . रू को .	- నా ననా . - కొ ఫ ూ న , వదదు . ఆ గు .	0.7118
मुझे व ै सा कोई प ल नहीं याद जब उनहोंने बि ना चे ता व नी दि ए बात की हो .	మన లని హె చచ రి ంచ కుండా ఆ వి డ ఈ విషయం గురించి మాటలా డి న టలు నాకు గుర తే లేదు .	0.6420
इस मौ न को खतम करो जब तक तुम यह कर सकती हो .	అవ కా శం దొ రి న పపుడ ే ని శ బ దానని చే ధి ంచాలి .	0.5145
इस में लड के की गल ती नहीं है , और तुम उसके बि ना आगे नहीं बढ पा ओ गे .	అందు లో అస స లు ఆ కు ర రా డి తపప ే లేదు , అత నే లే కు ంటే , పు రో గ తే ఉండే ది కాదు .	0.6486
तुम और मैं एक साथ , छो टे भा ई .	నువ వ ూ నే న ూ కలి సి , త మ ము డ ూ .	0.6212
वह पहले ही प हा ड के पीछे से गु जर चु का है .	ఎపపుడ ో పర వ తం వె ను క ప కక కి వెళలి పోయింది .	0.6305
मैं ही कयों ?	నే నే ఎందు కని ?	0.4433
लेकिन एक पिता को भी पता होना चाहिए कब उसे उसके बच च ों को जाने देना चाहिए	కానీ త మ స వ ంత మార గా నని అను సరి ంచ డానికి వీ లు గా , తన పిలల లని ఎ పపుడు వది లే య ాలో కూడా	0.5664
एक यहाँ , पर वे श द वार पर .	పర వే శ ద వా రం వ దద ఒక రు ననా రు .	0.5783
मैं आ भा री हूँ कि उसने दो छ ा या ओ ं को पक ड वा ने में स हा य ता की .	ఇ దద రు ఛ ా య లను ప టటు కో వడం లో అతను చేసిన స హా యా నికి నేను క ృ త జ ఞ ు డి ని .	0.6776
य दि तुमहें लगता है कयोंकि तुमहारे पास द ृ ष टि है उससे हम स मान हो गए हैं . . .	నీకు క ంటి చూ పు ఉంది కను క , మన మి దద రం సమ ఉ జ జీ లని నువవు భా వి సత ూ ఉ ంటే . . .	0.6955
हमें अपनी बात ची त जा री रख ें , कयों ?	తిరిగి మనం మన సం భా ష ణ ని కొ న సా గి ద దా మా ?	0.5247
मुझे नहीं पता कि रा नी दि ख ती कै सी है .	మ హా రా ణ ి ఎలా గు ంటు ందో నాకు తెలియదు .	0.5928
को फ ु न , आ का श में भगवान ज वाला कहाँ है ?	కొ ఫ ూ న , ద ె వ జ వాల అ కా శం లో ఎ కక డు ంది ?	0.6864
तुम बैठ ी रही और तुम त ब तक रु की रही जब तक मैं ढ ंग से सा ँ स नहीं ले पा या .	నేను మ ళ లీ ఊ పి రి తీసుకు నే ంత వర కూ నువవు కూ రచ ో ని అలా నే వే చి చూశా వు .	0.6747
अ चा न क से , मैं अपनी माँ के लिए फिर से श ो क म ना रही होती थी .	ఉనన టటు ండి , మా అమమ గుర త ొ చచి మ ళ లీ ఏ డు సత ూ కూ రచ ొ నే దానని .	0.6927
उनहें हमा रा पता चल ने तक कोई पह रे दार नहीं बच ना चाहिए .	కా ప లా దా రు ల కి మనం ఇకకడ ఉననా మని తెలియ క ము ందే వారి ని లే పే య డం .	0.5724
कि तनी जलदी अं ध े रा होगा और तुम पूरी तरह से बे कार हो जाओ गी .	అని అ ంచ నా వే సతుననాను అంతే , అ పపుడు మీ వ లల లా భ ం ఉండ దు .	0.6582
मेरे पास एक मा तर घर वह बच चे हैं .	నాకు ఉనన ఏ కె క ని వా సమ ంటే , ఆ పిలల లే .	0.6038
लेकिन मैं उसे वह दू री द ूँगा जो उसे चाहिए .	కానీ తన కు కా వల సిన ఏ కా ంతా నని తన కి నేను ఇ సతాను .	0.5649
तो तुम अपने कुछ आद मि यों को य हीं रह ने दो . मैं खो ज जा री रख ूँगी .	అయితే నీ వాళళ ని కొ ంత మంది ని వది లి వెళళ ు . అన వే ష ణ ని నేను కొ న సా గి సతాను .	0.6143
तुमहें लगता है कि मैं बि ना यो ज ना के उसे बता ऊँ गी कि मैं कौन हूँ ? ह ँ ?	ఒక ప థ క మ ంట ూ లే కుండా ఆమె కి నే నె వర ో ఊ రి కే చెపప ే సతా నను కుననా వా ? ఆ ?	0.6546
इसलिए तुमहें उन से बात कर नी चाहिए .	అందు కే నువవు అతని తో మాటలాడ ాలి .	0.5277
इन में से किसी पर भी तुम वि वाद करना चा हो , या शायद श रे य के लिए दा वा करो ?	వీ టి లో ఏ వె నా అబ దధ ాలని తి ర స కరి ంచే టి వి , బహు శా వా సత వ ాలు అని ఒ పపు కొ నే టి వి ఉననా యా ?	0.5954
के व ल मुझे .	కే వల ం నన నే .	0.4678
और ज हाँ भी मैं उनहें बता ऊँ गा वे सभी बस वहाँ च ले जाएँ गे ?	అలా చెపపా క , నా మాట ని వాళళు వి ంటా రని అనుకుంటుననా రా ?	0.5814
मैं चु डै ल खो ज क हूँ , मा घ रा , और अभी इस व कत मेरे डे रे में एक बैठ ा हुआ है !	నేను మా ంత రి కా ంత కు డి ని , మా గ రా , ఇపపుడు నా గు డా రం లో ఒక మా ంత రి కు డు కూ రచ ొ ను ననా డు !	0.6599
लेकिन वह भगवान नहीं है , और न ही तुम हो .	కానీ అతను దేవు డే ం కాదు , మీ రి దద రూ కూడా కాదు .	0.5409
जब मैंने पह ली बार सुना , तो मुझे वि श वास नहीं हुआ , ब ल कि झ ू ठ लग रहे थे .	నేను మొద టి సారి వి నన పపుడు , అ వి చాలా అ తి గా అనిపి ంచా యి , న మమ శ క య ంగా అనిపి ంచ లేదు .	0.6587
तुमहें लगता है किसी ने उसके खि ला फ जाने का पर या स किया ?	ఎవర ెనా తన మీద తి రుగు బా టు చేసే పర యత నం చే సా ర ంటా వా ?	0.6275
किसी हा नि कार क चीज को रो क ने के लिए कि तनी क ठ ि न चीज ों को करना पड ता है .	దాని వ లల ఏ హా నీ జ రగ కుండా ఉండే ందుకు ఎంత ె ంత ప ను లు చేసతా రో మీరు తెలుసు కో వాలి .	0.6242
भ ूल जाओ मैंने पूछ ा .	అ డి గి నన ందుకు మన ని ంచు .	0.4650
आप ऐसा कयों करेंगे ?	నువవు ఎందు క లా చేశా వు ?	0.4264
यह तुमहारे लिए एक गु द गु दी की तरह होगा .	నీకు ఇది చ క కి లి గి ంత లా గా అనిపి సతుంది అంతే .	0.5522
यह दिन आ गया है , और तुमहें अपने पिता से मिल ना चाहिए .	ఈ రోజు రా నే వచచి ంది , ఇక మీరు మీ త ండ రి ని కల వాలి .	0.6263
कं प नी जाने की तै या री में है .	ద ళ ం బయ లు దే ర డానికి సి దధ ంగా ఉంది .	0.5771
त ब तक नहीं जब तक तुमने ख बर नहीं सु नी .	క నీ సం నేను చెపప ే సమా చా రం వి నే దా కా వెళళ కు .	0.5363
बोल ने वाला अ ग ला आदमी मैं हो ऊ ं गा , जब मैं तुमहें अंदर बु ला ऊ ं गा .	నేను మి మమ లని లో ప లి కి ర మమ నే దా కా ఇం కె వ వర ూ నో రు తె ర వ కూడ దు .	0.6746
हम यहाँ रात के लिए डे रा डा ल ेंगे . तुमहारे पा पा , खो ज ने के लिए आगे गए हैं .	రాత రికి ఇకకడ ే ఉంటా ం . చు టటు ప కక ల వే గు చూడ టా ని కని మీ త ండ రి వెళళ ా డు .	0.6874
कया तुमहें माँ मि ली ?	నీకు అమమ క న బ డి ందా ?	0.4540
उसे मेरी सु र कष ा परा प त है . और मैं रा जा की बे टी हूँ .	నా ర కష ణ లో ఉననా డు . మరి నేను మ హా రా జు కు మార తె ను .	0.6734
कया वह हमारे साथ आए गा या नहीं .	అతను మన తో వ సతా డా అ నన విషయం .	0.5718
सब ठीक है .	పర వాల ేదు .	0.4322
मेरे आदमी .	నా వాళళు .	0.4836
लेकिन मुझे यकीन नहीं है कि खत रा कहाँ है .	కానీ , అది సరి గ గా ఎకకడ ో తెలియ డం లేదు .	0.5944
- मैं जा ऊँ गी . - अरे .	- నేను వెళ తాను . - హేయ .	0.5622
ओ ह , पा पा .	ఓహ , నా ననా .	0.4271
उसके साथ मा घ रा हमेशा रहे गी .	అతని తో మా గ రా ఎ లల పపుడ ూ ఉంటుంది .	0.5445
के व ल को फ ु न और ह नि वा ही पार कर सकते हैं .	కే వల ం కొ ఫ ూ న , హ నీ వాల ే దా టి వెళళ గల రు .	0.6740
हमने बहुत दू र की या त रा की है और बहुत अ धि क कि मत चु का ई है , अब वापस नहीं जा सकते .	మనం చాలా ద ూ రం వచచా ం , చాలా కో ల పోయా ం , కాబటటి ఇపపుడు వె ను ది రగ డం త గ ని పని .	0.6842
मेरे ओ ह दे के कुछ पु रु ष इससे पर भा वि त हो सकते हैं . . .	నా సథ ా యి లో ని కొ ంద రు దీ ని పర భా వా నికి లో న యయ ే అవ కా శ ము ంది . . .	0.6699
मैं रा नी इसलिए नहीं बन ना चाहती कयोंकि म श ी न ें काम करती हैं .	య ంత రాల పని మీద ఆ ధా రి త మెన మ హా రా ణ ి పద వి నాకు అ కక ర లేదు .	0.5915
के व ल एक नि य म है , और वह यह है .	ని బం ధన ఒక ట ే ఉంది , ఇక అంతే .	0.6276
- हम एक साथ र हें गे . - को फ ु न .	- మన మ ంతా కలి సే ఉండ ాలి . - కొ ఫ ూ న .	0.6777
राज य का भ वि ष य दा ं व पर है .	రా జ య భ విష యత తు పర మా ద ంలో ఉంది .	0.6422
हम एक और रा सता खो ज ल ेंगे .	చు టట ూ మ రో దా రి గు ండా వెళ దాం .	0.5366
मुझे य ु द ध और मार ने का तुम से बहुत जयादा अनु भ व है .	చం ప డం లో నాకు ఎంత అను భ వం ఉ ందో నువ వ స లు ఊ హి ంచ ను కూడా లే వు .	0.6341
हाँ . और वे अपनी उ पस थ ि ति बता ने के लिए अपने ड ं डे से आ वा ज करते हैं .	అవును . వారి ఉ నికి కి సూ చి క గా త మ దు డ డు కర ర లను త డు త ూ ఉంటా రు .	0.6918
हम पै र की उ ँ ग लिया ँ का ट ेंगे .	క ాలి వే ళళ తో మొద లు పె డ దాం .	0.6277
मुझे पता है ज हाँ रा नी को र खा गया है .	మ హా రా ణ ి ఎ కక డు ందో నాకు తెలి సింది .	0.5969
मैं दू सर ों को बता ता हूँ .	వెళలి ఇ తరు లకు చెపపి వ సతాను .	0.5073
यह मान व है , है ना ?	అది మని షి దే కదా ?	0.4518
कुछ सही नहीं लगता .	ఏదో తే డా గా ఉంది .	0.4144
तुमने उनहें अ के ले भे ज दिया .	వారి ని ఒ ంట రి గా పం పే శా వు .	0.5889
हम इ तनी दू र इस तरह की चीज ों से वापस घ ू म जाने के लिए नहीं आए थे .	కే వల ం ఇలా ంటి ది ఒకటి ఎ దు రె ంది కదా అని వె ను ది రగ డానికి మన మి ంత ద ూ రం రాల ేదు .	0.6194
और मेरे आद मि यों को बता ऊ ं गा कि आपके व ं श को बचा ने के लिए उनके सभी परिवार मा रे गए ,	మీ వం శా నని కా పా డు కో వ డానికి , వాళళ కుటుం బ ాలను చం పే శా రని చె ప తా నను కుననా రా ,	0.6582
तुम जे र ला म रे ल को बता दो कि हम यहाँ हैं . वह समझ जाएँ गे .	మే మి కకడికి వచచా మని జె ర లా మ రె ల కి చెపపు . అతను అరథం చేసు కుంటా డు .	0.6304
- ब ू ट स ! - इस दर वा जे को खो लो !	- బ ూ ట స ! - ఈ త లు పు తె రు వు !	0.7312
कयोंकि उनहोंने तुमहें पर या प त रू प से त ृ प त नहीं किया .	యు వ చె లి క త తె ల నా లు క లను వ ండి పెటట ా వ ని వి ననా ను .	0.6384
- गु फा में . . . - मैं समझ ती हूँ .	- గు హ లో . . . - నేను అరథం చేసు కో గల ను .	0.6659
पै रि स , यह कया है ?	ప యా రి స , ఏ మె ంది ?	0.5755
मैंने यही देखा .	నేను చూ సింది అదే .	0.4920
और मेरे हि सा ब से मैंने वह वा दा पू रा किया है .	నాకు తెలి సిన ంత వర కూ , నా మాట ని నేను ని ల బె టటు కుననాను .	0.5809
आपके लिए सू र य कयों मा य ने रख ता है ?	స ూర యు డి కీ దీ ని కీ సం బం ధ మే మి టి ?	0.6311
हर बच चा आ ख िर कार एक पु ल पर आ ता है जि से उसे अ के ले पार करना होता है .	ఏదో క రోజు పర తీ పి ల లా డి జీవి తం లో కి ఒక వ ంత ె న వ సతుంది , దానని అత న ొ కకడ ే దా ట ాలి .	0.6491
ता कि जि तना हम उसे जानते हैं उसे न जर अं दा ज कर सक ें , ठीक है ?	అతని గురించి మన కి తెలి సిన దానని ప కక న పె డ దాం , సరేనా ?	0.5929
एक नौ कर ा नी और एक ड रा इ वर के साथ स ड क के कि ना रे पर पहु ँच गई ?	కే వల ం తన చె లి క త తె మరి యు ఒక డ రె వర తో రో డ డు మీద కి అస లు ఎలా వచచి ంది ?	0.6718
उसे हम सभी की जरूरत नहीं है .	తన కి మన మ ంతా ఉండ వల సిన అవ సరం లేదు .	0.5366
बो ला यन .	బో ల యన .	0.4040
बि ना दे व ता ओ ं के ! कया तुम समझ गए ?	ఏ దేవు ళళ ూ లే కుండా ! అరథ మె ందా ?	0.6241
ओ ह , मेरे बच चे .	ఓహ , నా పిలల లా రా .	0.5870
मैं चाहता हूँ तुम दोनों वह जान ो जि से जान ने के लिए हम निक ले थे .	మనం ఏమి తెలుసు కో వ డానికి మన ప య నం మొద లు పెటట ా మో అది మీ ఇ దద రూ తెలుసు కో వాలి .	0.6040
वे अपने घर ों को , उनके परिवार के पास लौ ट जाएँ गे .	చే రు తా ర నే హా మీ తో , మీరు చెపపి న ద ల లా చేశా రు .	0.6081
वे सभी मेरे खि ला फ हो गए थे .	అంద రూ నా మీద తి రుగు బా టు చేశా రు .	0.5739
आपको लगता है कि मैं वहाँ जा ऊँ गा	నేను మా వాళళ దగ గ రికి వెళలి ,	0.4825
कया हम मिल चु के हैं ?	మనం ఇంత కు ముందు కలి శా మా ?	0.5278
उन तक जि ं दा पहु ँच ने का एक मा तर तरी का है	ఆ వి డ ని చే రు కొ నే ఏ కె క దా రి ఏ ంట ంటే ,	0.5846
कैसे एक रा नी जो अपना मह ल कभी नहीं छोड ती	ఇది వర కు ఎపపుడూ కో ట బయట అ డు గు పెటట ని ఒక మ హా రా ణ ి	0.5967
तुम रु की रही ता कि मुझे पता च ले कि मैं अ के ला नहीं था .	నేను ఒ ంట రి గా లే నని నాకు తెలియ డానికి నువవు అలా నే వే చి ఉననా వు .	0.5823
तुमहें नहीं जाना चाहिए , मा घ रा .	నువవు వెళలి పో కూడ దు , మా గ రా .	0.5722
मुझे खत रा मह सू स हो रहा है .	పర మా ద ం పొ ంచి ఉ ందని తెలు సతోంది .	0.5441
के व ल जे र ला म रे ल के बच चे ही ज ञ ा न ो द य स भा में पर वे श कर सकते हैं .	జ ఞ ా నో దయ ని వా సా నికి , కే వల ం జె ర లా మ రె ల పిలల లే వెళళ గల రు .	0.6998
तुम तैयार हो ?	నువవు సి దద మే నా ?	0.3949
और यह उसे ड रा ता है .	దా నికి తను భ య పడు తోంది .	0.5442
जब उनहोंने काम करना चु ना , तो हम बहुत खुश थे .	అ వి పని చేసిన పపుడు , మన లని ఆ రా ధి ంచే వారు .	0.6167
मैंने ल ं बे समय से इस बारे में सो चा है .	నేను దీ ని గురించి చాలా కాల ం పా టు ఆలోచి ంచా ను .	0.5593
मैं कुछ नहीं देख सकती .	నా కే మీ క న బ డ టం లేదు .	0.5003
हम नहीं जानते कोई राज य पर शा स न कर भी रहा है .	అస లు ఎవర ెనా పరి ర కష ి సతుననా రా అ నన విషయం కూడా తెలియదు .	0.5785
तुम उसे बु ला सकते हो जो वह है . उस में कोई शक ति या जा दू नहीं है .	నువవు ఆ వి డ కి ఏ పే రె నా పె టటి పి ల వచచు . కానీ ఆ పేరు కి ఇకకడ పరా ధా న య తే ఉండ దు .	0.6467
जब उनहोंने नहीं किया , हम खुश नहीं थे .	అ వి పని చేయ న పపుడు , మన లని ఆ రా ధి ంచే వాళళు కాదు .	0.5407
कोई हमें यहाँ ढूँढ नहीं पा ए गा . यह एक गु फा है , अचछी तरह छ ु पी हुई .	ఇకకడ మన లని ఎవ వర ూ కని పెటట లే రు . ఇ దొ క గు హ , ఎవ వ రికీ క న బ డ దు .	0.7014
बाहर वे सै निक . . .	బయట ఉనన సి పా యి లు . . .	0.6153
पै रि स .	ప యా రి స .	0.4982
मुझे नहीं पता .	నాకు తె లీ దు .	0.4783
मैं तुमहारे परिवार की त ला श जा री रख ने के लिए एक द ल छोड द ूँगा .	నీ కుటుం బా నని గ ాలి ంచ డా ని కని ఒక ద ళ ా నని ఉ ంచి వెళ తాను .	0.6225
हम कयों रु क रहे हैं ?	ఎందుకు ఆ గు తుననా ం ?	0.4118
हम कयों रु क रहे हैं ?	ఎందుకు ఆ గు తుననా ం ?	0.4118
ख ून से स नी ? कया वह जी वि त है ?	ర క త పు మ డు గు లో నా ? ఆ వి డ బర తి కే ఉ ందా ?	0.6528
व ग ै रह - व ग ै रह .	ఇంకా , ఇంకా .	0.2510
वह यहाँ है .	ఆ వి డ వచచి ంది .	0.4416
अन गि न त ल डा इ यों से . . .	ఎ న లే ని యు దధ ాలు చేసి నా . . .	0.6495
मैं वि श वास नहीं कर सकती कि वह वा सत व में हमें छोड गए .	అతను మన లని వది లే శా డ ంటే నేను న మమ లే కపో తుననాను .	0.5794
मैं एक ऐ सी जगह जान ता हूँ ज हाँ हम छ ु प सकते हैं . मेरे पीछे आओ .	మనం సు ర కష ి తంగా తల దా చు కో గల చ ో టు నాకు తెలి సింది ఒకటి ఉంది . నా వె ంటే ర ండి .	0.6368
उस मे मन में कोई बात है . . .	త నే ద ో అ టటి పె టటు కొ ని ఉంటుంది . . .	0.5875
बडी ड ो रि यन ने एक बार कहा था . . .	అ గర జు డె న డ ో రి యన ఒ కా న ొ క సారి అ ననా డు . . .	0.6088
जब पर कृ ति रो ने के लिए भी ख माँ ग ती है . "	అత య ంత ఇ బబ ంది కర అను భ వం , ని శ బ ద ం . "	0.6737
कुछ के दू सर ों से जयादा हो ते हैं .	కొ ంద రి క ననా ఇం కొ ంద రికి ఎకకువ గా ఉంటా రు .	0.5637
पर वे श करो , और तुमहें आ ं का जाएगा .	పర వే శి ంచా ర ంటే , గు ణ గ ణ ాలు లె క కి ంచ బ డ తా రు .	0.5829
- ध यान से . - बे शक .	- జా గర తత . - తపప కుండా .	0.6339
जो उनहें बना ए र खा था .	ఆ ఆ శ ే వాళళ ని న డి పి ంచి ంది .	0.4314
अपनी माँ को याद रख ना .	మీ అమమ ని గుర తు తె చచు కో ండి .	0.4970
मैं जान ना चाहता हूँ मैंने किस लिए अपनी प तनी का ब लि दा न दिया है .	నా భా ర య ని త యా గం దే ని కోసం నేను చేశా నో నాకు తెలియ ాలి .	0.5559
के व ल एक नि य म है , और बस बात खतम .	ని బం ధన ఒక ట ే ఉంది , ఇక అంతే .	0.6315
2 0 साल तक , उनहोंने आप की आज ञ ा का पा ल न आपके इस वा दे पर किया कि एक दिन ,	ఇ ర వె ఏ ళళు గా , ఏదో క రోజు న , వారి ఇ ళళ కు , వారి కుటుం బ ాల చె ంత కు	0.6700
- यह सिर फ इसलिए है . . . - कोई बात नहीं .	- అది ఎందుకంటే . . . - పర వాల ేదు లే .	0.6629
दा वा किया कि दे व ता उनकी तरफ थे .	దే వ త లు వారి ప కక నే ఉననా రని పర క టి ంచా రు .	0.5273
इस दर वा जे को खो लो !	ఈ త లు పు తె రు వు !	0.5938
वह तुमहारा बे टा नहीं है .	అతను నీ కొ డు కు కాదు .	0.5273
गल ती का इससे कोई ले ना - देना नहीं है . मैं बस न जर अं दा ज नहीं कर सकता कि वह कौन है .	ఇది తపప ొ పపు ల పర శ న కాదు . అత నె వర ో తెలి సి కూడా నేను ఊ రు కొ ని ఉండ లేను .	0.6731
तुम पीछे रख े सै नि को ं की क मान सं भा ल रहे हो ?	ఇకకడ ే ఉండే వాళళ కి అ ధి ప తి వి నువ వే నా ?	0.6161
मुझे नहीं पता . . .	అమమ మన సు లో . . .	0.5711
यहाँ किसी की मौ त हुई थी .	మ రణ వా స న తెలు సతోంది .	0.5296
शायद नहीं .	కా కపో వచ చే మో .	0.3280
मैं इसे कर ूँगा . मैं उन सब को मार डा ल ूँगा .	ఆ పని నేను చేయ గల ను . వాళళ ంద రి పని ని నేను ప టట గల ను .	0.5636
दे व ता ओ ं ने बा ं ध छ ी न लिया .	దేవు ళళు ఆ న క టట ని తీ సే సు కుననా రు .	0.6122
तुम कया कह रही हो ? हमें पीछे मु ड ना होगा .	ఏం మాటలాడు తుననా వు నువవు ? మనం వెన క కి వెళలి పో వాలి .	0.5639
मैं तुमसे पयार करता हूँ , बच चे .	నువ వ ంటే నాకు పరా ణం , బా బ ూ .	0.5756
बढिया .	అంతే .	0.3812
ह नि वा और को फ ु न .	హ నీ వా మరి యు కొ ఫ ూ న .	0.5694
मैं भी नहीं .	నేను కూడా .	0.3970
मैंने सुना है तुमने नी ंद में ख र रा टे ले ने पर परे मि यों को मार डा ला .	ని దర లో గుర క పె డు తుననా రని నీ పరే మి కు ల నే చం పా వ ని వి ననా ను .	0.6494
- हम नहीं जानते कि वा सत व में कया हो . . . - माँ को यह नहीं चाहिए था .	- అస లే ం జరిగి ందో మన కి తె లీ దు . . . - అమమ కి ఇది ఇష టం లేదు .	0.6724
मेरा मतलब , ऐसा करने का कोई न कोई तो कार ण होगा , ह नि वा .	అంటే , దీ ని క ంత టి కీ ఒక కా రణ ం ఉ ండు ండ ాలి , హ నీ వా .	0.6022
लेकिन मुझे पता है वह उससे पयार करती थी .	కానీ తను అత డి ని పరే మి ంచి ందని మా త రం నాకు తెలుసు .	0.5360
मैं रा नी बन ना चाहती हूँ कयोंकि मैं हूँ .	నేను మ హా రా ణ ి ని కాబటటి మ హా రా ణ ి ని కా వాల ను కుననాను .	0.4753
वहाँ ख ून से स नी एक म हि ला थी , पीछे .	వె ను క ప కక , ర క త పు మ డు గు లో ఉనన ఒక మ హి ళ ఉంది .	0.6430
- आगे कया है ? - यह एक प हा डी दर रा है .	- ముందు ప కక ఏ ము ంది ? - పర వ త ాల న డు మ దా రి ఉంది .	0.6309
को फ ु न , उनहें बता ओ कि यहाँ कुछ भी नहीं है .	కొ ఫ ూ న , ఇకకడ ే మీ లే దని అతనికి చెపపు .	0.6103
उनहें जान ने की कोई आ व श य क ता नहीं है .	వా రికి తెలియ ాల సిన అవ సరం లేదు .	0.4925
वर ष ों तक , हमने अपने नीचे की म श ी नों के आ धा र पर सत ता सं भा ली .	ఎ నన ో ఏ ళళు గా , మన ది గు వ న ఉనన య ంత రాల పని తీ రు మీద ఆ ధా ర పడి మన ప ాల న సా గి ంది .	0.6710
मा घ रा , रा नी खत रे में है .	మా గ రా , మ హా రా ణ ి పర మా ద ంలో ఉంది .	0.5386
माँ के दि मा ग में . . . कया था .	ఏ ము ందో . . . నాకు తె లీ దు .	0.6822
और बा बा व ॉ स को याद करना , जिस ने तुमहें सभी चीज ें सि खा ई हैं .	ఇంకా మీ క న నీ నే ర పి న , బా బా వా స ని గుర తు తె చచు కో ండి .	0.6386
- उस को एक म रह म लगा ने वाले की जरूरत है . - नहीं . उसके पास पिता जी और पै रि स हैं .	- ఆమె కి వె ద యు ల అవ సరం ఉంది . - లేదు . తన కి నానన , ప యా రి స లు ఉననా రు .	0.7117
" हमारे साथ आए गा " ?	" మన తో వ సతా డా " ?	0.5742
ह नि वा , इससे कोई फर क नहीं पड ता कि कौन पहले बोल ता है .	హ నీ వా , ముందు ఎవరు మాటలా డా ర నన ది ముఖ యం కాదు .	0.6257
ई मान दा री से , मुझे लगता है तुमहें अपनी उ म मी द ों को पर बं धि त करना चाहिए .	నిజ ా యి తి గా చెపప ాల ంటే , నీ ఆ శ లని నువవు అ దు పు లో ఉ ంచుకో వాలి .	0.6575
जैसे कि द ृ ष टि तुमहें गल त होने से बचा ती है .	ఏదో చూ పు నీకు ని కక చచి గా చూ పే టట టు చెబు తుననా వు నువవు .	0.5958
बहुत सा रे लोग .	చాలా మంది చేశా రు .	0.4709
- तुमने मुझसे वा दा किया था ! - मैंने खो ज ने का वा दा किया था .	- నువవు నాకు మా టి చచా వు ! - వె తు కు తా నని మా టి చచా ను .	0.6059
तुम पर भ रो सा करने का डर . . .	నినను న మమ ాల ంటే భ యం . . .	0.6394
