नमस्ते	నమస్కారం
तुम्हारे राज्य, हालब्रांड।	మీ భూములు, హాల్‌బ్రాండ్.
तुम्हारे लोगों का कोई राजा नहीं है, क्योंकि वह तुम ही हो।	మీ ప్రజలకు రాజు లేడు, నీకు అతను.
पिंजरे में बंद एक आदमी से यह कहना अजीब बात है।	అది పంజరంలో బంధించిన మనిషితో అనడం విచిత్రం.
इस पिंजरे में तुम इसलिए हो क्योंकि आम जिन्दगी तुम्हें रास नहीं आयी। ।	ఒక సామాన్యుని కోపాన్ని అవహేళన చేస్తూ పెట్టిన పంజరం.
और वह कवच जो तुम्हारे कंधे पर होना चाहिए वह तुम्हारी	మీ భుజాల మీద ఉండాల్సిన కవచం
आत्मा पर भार बनकर बैठा है।	మనసు మీద భారంగా ఉంది.
ज़रा संभलकर, एल्फ़।	జాగ్రత్త, ఎల్ఫ్.
इस निशान का उत्तराधिकारी केवल एक कुलीन वंश का वारिस नहीं है।	ఈ చిహ్నానికి వారసుడు ఘనతకు మించిన వారసుడు.
उसके पूर्वज ने अपने ख़ून से मॉरगौथ का साथ देने की शपथ ली थी।	ఎందుకంటే అతని పూర్వీకుడు మోర్గోత్‌కు రక్త ప్రమాణం చేశాడు.
मैं वह नायक नहीं जिसकी तलाश में हो।	మీరు వెతుకుతున్న యోధుడను నేను కాను.
क्योंकि वह मेरा परिवार था जो जंग हारा था।	ఎందుకంటే మా కుటుంబం యుద్ధం ఓడిపోయింది.
और मेरे परिवार ने जंग का आगाज़ किया।	అది మొదలుపెట్టింది మా వాళ్ళే.
हमारी मुलाकात इत्तेफ़ाक नहीं थी।	మన సమావేశానికి అవకాశం లేదు.
न भाग्य, न किस्मत, न ऐसा कुछ	విధిరాత కాదు, మన అదృష్టం కాదు,
जिससे इंसान उन ताक़तों को बयान करते हैं	లేదా పురుషులు తమకు నమ్మకం లేని శక్తులను
जिन्हें वे नाम देने का बूता नहीं रखते।	చెప్పేందుకు వాడే ఏ ఇతర పదాలు కాదు.
हमारा मिलना एक दैवी संयोग था।	మాది ఒక గొప్ప పని.
तुम्हें यह दिख रहा होगा।	అది నువ్వు చూడాలి.
मुझे वह एल्फ़ दिख रही है जो तलवार गिराना नहीं चाहती।	నాకు తన కత్తిని కిందకు దించని ఎల్ఫ్ కనిపిస్తుంది.
मेरे साथ मध्य-धरती चलो।	నాతో మిడిల్ ఎర్త్‌
और हम साथ मिलकर दोनों के वंशों को मुक्ति दिलाएँगे।	మన ఇద్దరి రక్తసంబంధీకులకు కలిసి విముక్తి కల్పిద్దాం.
कैसे?	ఎలా?
तुम इस द्वीप पर फँसी हुई हो।	నువ్వు ఈ ద్వీపంలో ఇరుక్కుపోయావు.
और तुम्हारे पास सेना भी नहीं है।	నీకు ఇంకా సైనికుల కొరత ఉంది.
वह सब बदलने वाला है।	అది మారబోతుంది.
वह आ गया, पिताजी।	అది వచ్చేసింది, నాన్నా.
वह पल जिसका हमें डर था।	మనం భయపడ్డ క్షణం.
वह एल्फ़ आ चुकी है।	ఎల్ఫ్ వచ్చేసింది.
चलो! धक्का दो!	పదండి! తొయ్యండి!
जाओ, पॉपी, तुम पीछे रह जाओगी।	నడుస్తూ ఉండు, పాపీ, లేదా వెనకబడతావు.
मुझे ज़रा दो घड़ी साँस लेने दो।	నాకు ఊపిరి తీసుకునేందుకు కొంచెం సమయం ఇవ్వు.
पीछे हटो!	వెనుకకు!
ए...	హేయ్...
ए...	హేయ్...
दोस्त।	మిత్రమా.
मुझे पता चल गया।	ఇంతే.
हम इसी तरह बाकी सबके साथ गति बनाए रखेंगे, हम सब।	మనం ఇతరులతో ఇలానే కొనసాగుతాం, అందరం.
यह हमारी मदद करेगा, और हम इसकी मदद करेंगे।	అతను మనకు సాయపడతాడు, మనం అతనికి సాయపడతాము.
माँ? क्या हम इसे साथ ले चल सकते हैं?	సరేనా, అమ్మా? అతనిని తీసుకురావచ్చా?
वार्ग को छोड़ दो!	ఆ తోడేలును విడుదల చేయండి!
खुद को आज़ाद करो!	నిన్ను నువ్వు విడిపించుకో!
अरोंडीर!	అరోండీర్!
भाई!	సోదరా!
नहीं!	వద్దు!
रुको!	ఆగు!
इसे अदार के पास ले चलो।	అతనిని అడార్ దగ్గరకు తీసుకురండి.
अदार!	అడార్!
- एक मीनार? - वह वसंत तक बन जानी चाहिए।	- కోట అంటావా? - అది వసంతంలోపు పూర్తి కావాలి.
क्या हमारी प्रजाति के दायरे से बाहर भागीदारों की तलाश करने पर विचार किया है?	మన జాతి పరిమితుల వెలుపల భాగస్వాములను వెతకాలని అలోచించావా?
अपना प्रस्ताव बोलो	మీ ప్రతిపాదన గురించి చెప్పు
ताकि मैं उसे अपने पिता के पास ले जा सकूँ।	అది మా నాన్నకు తెలియజేస్తాను.
वह कुछ छुपा रहा होता तो मुझे आभास हो जाता।	అతను ఏదైనా దాస్తుంటే నాకు తెలుస్తుంది.
शायद उसे आभास हो गया था कि तुम कुछ छुपा रहे हो।	బహుశా ఏదో దాస్తున్నది నువ్వే అని అతను పసిగట్టాడేమో.
यह कौन सी जगह है?	ఇది ఏ ప్రదేశం?
न्यूमेनोर की द्वीप सल्तनत।	న్యూమెనోర్ రాజ్య ద్వీపం.
मैं सोच रहा था कि उसे टाल दूँ।	వాయిదా వేయాలని అనుకుంటున్నాను.
जब समुद्री परीक्षा आरंभ होगी और जहाज़ निकलेगा, तुम उस पर होगे।	సముద్రయానం ప్రారంభమై, ఓడ బయలుదేరినప్పుడు, నువ్వు అందులో ఉంటావు.
मुझे मुसीबत नहीं चाहिए।	నాకు ఏ సమస్యా వద్దు.
यह तो दक्षिणभूमि का नक्शा है।	ఇది సౌత్‌ల్యాండ్స్ చిత్రపటం.
यह एक जगह ही नहीं, एक योजना बयान कर रही है,	ఇది ప్రాంతమే కాదు, పథకం గురించి తెలుపుతుంది.
अपना ख़ुद का लोक बनाने का।	సొంత రాజ్యం సృష్టించుకునేందుకు.
दक्षिणभूमि गंभीर ख़तरे में हैं।	సౌత్‌ల్యాండ్స్ తీవ్ర ప్రమాదంలో ఉంది.
अगर सौरॉन वाकई लौट आया है, तब तो दक्षिणभूमि केवल शुरुआत है।	సౌరన్ నిజంగా తిరిగి వచ్చి ఉంటే, సౌత్‌ల్యాండ్స్ ఆరంభం మాత్రమే.
अगर तुम में से कोई भी ज़िंदा रहना चाहता है...	ఇక్కడ మీలో ఎవరైనా ప్రాణాలతో ఉండాలనుకుంటే...
तो हम भोर होते ही एल्वन मीनार के लिए निकलेंगे।	మనం ఎల్వెన్ కోటకు తెల్లవారు జామునే వెళ్ళాలి.
इसे अदार के पास ले चलो।	అతనిని అడార్‌కు తీసుకురండి.
कहा जाता है पुराने दिनों में सौरॉन के कई नाम थे।	సౌరన్‌కు గతంలో చాలా పేర్లు ఉన్నాయని అంటారు.
शायद यह उनमें से एक होगा।	అందులో ఇది ఒకటేమో.
तुम्हारे लोगों का कोई राजा नहीं है, क्योंकि वह तुम ही हो।	మీ ప్రజలకు రాజు లేడు, నువ్వే అతను కాబట్టి.
मेरे साथ मध्य-धरती चलो।	నాతో మిడిల్ ఎర్త్‌కు రా.
तुम्हारे पास सेना नहीं है।	నీకు ఇంకా సైనికుల కొరత ఉంది.
वह सब बदलने वाला है।	అదంతా మారబోతుంది.
द लॉर्ड ऑफ़ द रिंग्स: द रिंग्स ऑफ़ पावर	ది లార్డ్ ఆఫ్ ది రింగ్స్: ది రింగ్స్ ఆఫ్ పవర్
इस राजदरबार में, हम अपने द्वीप के भविष्य को तय करने के लिए रोज़ इकट्ठा होते हैं।	ఈ సభలో, మనం మన ద్వీపం భవిష్యత్తును చర్చించేందుకు నిత్యం సమావేశమవుతాం.
लेकिन शिशु-आशीर्वाद समारोह में,	కానీ పిల్లల ఆశీర్వచన వేడుకలో,
हम उनका स्वागत करते हैं जो उस भविष्य को जिएँगे।	ఆ భవిష్యత్తులో జీవించే వారిని స్వాగతించేందుకు సమావేశమవుతాం.
ऐसा भविष्य जो समुद्र के क्षितिज पर उगते सूरज से भी ज़्यादा असीम है।	సముద్రంపై అవధుల్లేని సూర్యోదయంలా.
तुमने इसके लिए क्या नाम चुना है?	తనకు ఏ పేరు ఎంచుకున్నావు?
एलिनेल।	ఆలినెల్.
एलिनेल।	ఆలినెల్.
तुम्हारे अंदर न्यूमेनोर की शक्ति उत्पन्न हो।	నీలో న్యూమెనోర్ శక్తి పెరగాలి.
उसका विवेक तुम्हारे कदमों का मार्गदर्शन करे...	తన జ్ఞానము నీ అడుగులకు మార్గదర్శకం...
कभी-कभी हमारे द्वीप को अंगड़ाई की ज़रूरत होती है।	ఒక్కోసారి మన ద్వీపం కాస్త విస్తరించాలి.
बिल्कुल तुम्हारी तरह।	సరిగ్గా నీలాగే.
आज बहुत सुहाना दिन है, राजरानी साहिबा।	ఇది పరిపూర్ణమైన రోజు, క్వీన్ రిజెంట్.
आप किस काम से शुरुआत करेंगी?	మీరు ఏ పనితో ప్రారంభిస్తారు?
उन्होंने एल्फ़ को सभा में बुलाया।	ఆమె ఎల్ఫ్‌ను సభకు పిలిపించింది.
आज सुबह ही।	ఈ ఉదయమే.
एल्फ़ के साथी ने चार गिल्ड्समैन पर हमला किया, और मिरियल ने उसे चाय पर बुलाया?	ఎల్ఫ్ నేస్తం నలుగురు సభ్యులపై దాడి చేస్తే, ఆమెకు మిరియల్ స్నేహపూర్వక ఆహ్వానమా?
शायद एल्फ़ को दंड देने के लिए बुलाया होगा।	ఆమెను శిక్షించేందుకు ఎల్ఫ్‌ను పిలిచిందేమో.
या उससे आदेश लेने के लिए।	లేదా ఆమెను ఆదేశాలు అడగడానికేమో.
और जहाँ वह एल्फ़ हमारी रानी के कानों में ज़हर डाल रही है,	ఎల్ఫ్ మన రాణుల చెవులలో విషాన్ని గుసగుసలాడుతున్నప్పుడు,
हमारे लिए कौन बोल रहा है?	మాకోసం ఎవరు మాట్లాడుతున్నారు??
चांसलर!	అధ్యక్షా! అధ్యక్షా!
उसे मेरी नमस्ते कहना, ठीक है? ज़रा धीरे बोलो।	ఆమెకు నా శుభ్స్కాంశాలని తెలుపుతావా? నీ స్వరం తగ్గించు.
क्या आप एक लेना चाहेंगे, जनाब? लीजिए, जनाब।	మీకు ఒకటి కావాలాండీ? తీసుకోండి.
मुझे पता नहीं था कि आप कोई ज़रूरी काम कर रहे हैं।	మీరు ఏదో ముఖ్యమైన దాని మధ్యలో ఉన్నారని గ్రహించలేదు.
चांसलर!	అధ్యక్షా!
शासन कला ऐसी कला है जिसमें छोटे मसलों को उतनी ही अहमियत देनी होती है	ఓ రాజ్యాన్ని పాలించే కుశలం చిన్న విషయాలపైనా
जितनी कि बड़े मसलों को।	గొప్ప విషయాల అంతే శ్రద్ధ వహించడం.
मुझे लगता था कि तुम अब तक यह सीख गए होगे।	అది ఈపాటికి నేర్చుకొని ఉంటారని అనుకుంటాను.
मैं बस होशियारी दिखा रहा था।	నేను తెలివిగా ఉండాలని చూస్తున్నా.
होशियारी केवल वे दिखाते हैं जिनकी महत्वाकांक्षाएँ सीमित होती हैं।	తెలివి చిన్న ఆశయాలు ఉండేవారికి.
मैं चाहता हूँ कि तुम समझदार बनो, बेटा।	నువ్వు వివేకంతో ఉండాలని అనుకుంటాను, బాబు.
अब, क्या परेशानी आ गई है?	ఇక, సమస్య ఏమిటి?
एक छोटा सा बवाल खड़ा हो गया है।	మనకు కొంచెం అలజడి ఉండవచ్చు.
हमारे तट पर एल्फ़ जहाज़?	ఎల్ఫ్ ఓడలు మన తీరానికి చేరాయా?
एल्फ़ मज़दूर तुम्हारे काम छीन रहे हैं?	ఎల్ఫ్ కార్మికులు మీ వ్యాపారం తీసుకుంటున్నారా?
वे मज़दूर जो सोते नहीं हैं,	నిద్రపోని, అలిసిపోని,
थकते नहीं हैं, बूढ़े नहीं होते हैं।	వయసు మీరని కార్మికులు.
नहीं!	కాదు!
मैं तो कहता हूँ, रानी या तो अंधी हैं	నేను చెప్పేది, మహారాణి గుడ్డిదన్నా అయి ఉండాలి లేదా
या फिर एल्फ़ की गुलाम हैं।	ఎల్ఫ్ ప్రేమికురాలన్నా అయిఉండాలి.
बिल्कुल अपने पिता की तरह।	ఆమె తండ్రి లాగానే.
एल्फ़ की गुलाम!	ఎల్ప్ ప్రేమికురాలు!
और अगर वह एल्फ़ अभी यहाँ होती, तो वह क्या देखती?	ఒకవేళ ఎల్ఫ్ ఇక్కడ ఉంటే, ఆమె ఏమి చూస్తుంది?
न्यूमेनोर की प्रजा,	న్యూమెనోర్ పురుషులనా,
या फिर रिरियाते बच्चों का एक झुंड?	లేదా ఏడ్చి, గగ్గోలు పెట్టే పిల్లలనా?
हम ऐडान के बेटे और बेटियाँ हैं।	మేము ఎడైన్ కుమారులు, కుమార్తెలం.
ऐलरॉस तर-मिन्यातूर के, जिनकी सेना ने स्वयं मॉरगौथ पर विजय हासिल की।	ఎల్రోస్ టర్-మిన్యటుర్, అతని అతిథేయుడు స్వయంగా మోర్గోత్‌ను జయించాడు.
लेकिन अब एक एल्फ़, एक भगोड़ी, हमारे लिए ख़तरा बन सकती है?	కానీ ఇప్పుడు ఒక ఎల్ఫ్, పనికిమాలినది, మనల్ని బెదరించగలదా?
तुम सब, नीचे अपने संघ के चिह्नों को देखो।	ప్రతిఒక్కరు, మీరు కలిగి ఉన్న సమాజ చిహ్నాన్ని చూడండి.
ताकतवर हाथों की विरासत।	శక్తివంతమైన చేతుల వారసత్వం.
उन पुरुषों की जिन्होंने समुद्री दीवार बनाई।	సీ వాల్ నిర్మించిన మనుషులు.
जिन्होंने आर्मेनेलॉस को नींव से बनाया, हमारी सभ्यता की जीत।	మన నాగరితకు విజయం అయిన అర్మెనెలస్ నిర్మించిన వారు.
लेकिन अब एक एल्फ़ हमारे लिए ख़तरा बन सकती है?	కానీ ఇప్పుడు, ఒక్క ఎల్ఫ్ మనల్ని బెదిరించగలదా?
मेरे मित्रो...	మిత్రులారా...
मुझ पर विश्वास करो।	నన్ను నమ్మండి.
मेरे इन घट्टेदार हाथों की सौगंध,	కాయలుకాసిన నా చేతులతో,
मैं कभी न्यूमेनोर की बागडोर को किसी एल्फ़ के हाथों में नहीं जाने दूँगा।	ఎల్వెన్ చేతులలోకి న్యూమెనోర్ చక్రం ఏనాటికీ వెళ్ళదని ప్రమాణం చేస్తున్నాను.
हमारा राज्य हमेशा मनुष्यों का राज्य रहेगा।	అది ఎప్పటిలాగానే, మానవుల రాజ్యంగా మిగిలిపోతుంది.
सबके लिए जाम!	మద్యం సేవించండి!
इस शहर में ऐसा कोई नहीं है जिसे वह नहीं जानते,	ఈ నగరంలో అతనికి తెలియని పేరు లేదు,
जिसे वह नहीं बदल सकते, जिस पर उनका एहसान न हो...	అతను మార్చలేని జనం లేరు, రుణపడని సాయం లేదు...
बेहद काबिल-ए-तारीफ़ है।	అది చాలా బాగుంది.
"मैं तो ""खीझ दिलाने वाला"" कहने वाला था।"	"నేను ""రెచ్చగొట్టేది"" అంటాను."
मिनेलतर्मा के पास अंगूर-बाग़ानों की है।	మెనెల్టర్మా దగ్గరి ద్రాక్ష తోటల నుండి.
पीते ही सारी परेशानियाँ भूल जाओगी। ऐसा कहते हैं।	నీ సమస్యలను మరిచేలా చేసేది. లేదా అలా చెబుతారు.
परेशानियों के लिए बहुत मशक्कत की है।	నా సమస్యలు మరువలేనివి.
तो तुम नई प्रशिक्षु होगी।	నువ్వు కొత్త విద్యార్థివేమో.
मैं केमेन हूँ। और तुम्हारा नाम...	నా పేరు కెమెన్. మరి నీ పేరు...
ईरियन। नक्शे लेकर आओ, इसी वक़्त।	ఎఆరియన్. ప్రణాళికలు, వెంటనే.
तुम मुझे तंग कर रही हो, एल्फ़।	విసుగు తెప్పిస్తున్నావు, ఎల్ఫ్.
मैंने मेहमान समझकर स्वागत किया,	నిన్ను అతిథిగా స్వాగతిస్తే,
और तुम प्राचीन मसौदे चुराने के लिए सरपट हमारे देहात चली गईं	నువ్వు గ్రామీణ ప్రాంతానికి వెళ్ళి ప్రాచీన పత్రాలను దొంగిలిస్తుంటే
जबकि तुम्हारे दक्षिणवासी साथी ने हमारे नागरिकों पर हमला किया।	నీ సౌత్‌ల్యాండ్ సహచరుడు మా పౌరులపై దాడి చేస్తున్నాడు.
ज़ाहिर है कि वह गुस्से में होगा। उसकी प्रजा मर रही है।	అతనికి త్వరగా కోపమొస్తుంది. తన ప్రజలు చనిపోతున్నారు.
"""उसकी प्रजा""?"	"""తన ప్రజలా""?"
जिसको आपने काल कोठरी में बंद किया है वह कोई आम फ़सादी नहीं,	మీరు చెరసాలలో బంధించి ఉంచిన వ్యక్తి ఏదో మామూలు జగడాలమారి కాదు,
पर दक्षिणभूमि के सिंहासन का निर्वासित भटका हुआ उत्तराधिकारी है।	ప్రవాసం కోల్పోయిన సౌత్‌ల్యాండ్స్ సింహాసనానికి వారసుడు.
फिर तो एलेंडिल भी एक रुनिक सम्राट होगा।	ఇక్కడ ఉన్న ఎలెన్‌డిల్ రౌనిక్ చక్రవర్తి అనుకున్నాను.
असल में, मैं तो एक आम सामंत हूँ।	నిజానికి, చిన్న రాజు.
उसकी प्रजा बिखरी हुई है। बिना नेता के।	తన వాళ్ళు చిన్నాభిన్నమయ్యారు. నాయకుడు లేడు.
पर आपके समर्थन से वे उसके ध्वज के पीछे एकजुट होकर लड़ सकते हैं।	కానీ మీ సహకారంతో వాళ్ళు అతని పతాకం కింద ఏకం కాగలరు.
"""समर्थन"" से तुम्हारा मतलब?"	"""సహకారం"" అంటే ఏంటి?"
सौरॉन एक समय पर आपके लोगों का दुश्मन था, जितना कि मेरा दुश्मन था।	సౌరన్ ఒక్కప్పుడు నాకు ఎంతో, మీ ప్రజలకూ అంతే శత్రువు.
उस अधूरे काम को पूरा करने के लिए आपसे विनती करती हूँ।	పూర్తి చేయని పని నెరవేర్చమని పిలుపు ఇస్తున్నాను.
न्यूमेनोर और एल्व्स के बीच दोबारा गठबंधन बनाने के लिए...	న్యూమెనోర్ ఎల్వ్స్ మధ్య కూటమిని పునరుద్ధరించడానికి...
और मेरे साथ लड़ने के लिए, दक्षिणभूमि के लोगों को बचाने के लिए	నాతో పోరాడడానికి, సౌరన్ సౌత్‌ల్యాండ్స్ భూములను
इससे पहले कि सौरॉन उनकी ज़मीन पर अपना हक़ जमा ले।	తనవి అని చెప్పకముందే ఆ ప్రజలను కాపాడాలి.
इस दरबार में हम कई प्रस्ताव सुनते हैं।	సభలో చాలా ప్రతిపాదనలు విన్నాము.
लेकिन इतना हैरतअंगेज़ और महत्वाकांक्षी प्रस्ताव नहीं सुना।	నీది కొన్ని వారాలలో విన్న ఆశ్చర్యకర, ప్రతిష్టాత్మకమైనది.
बहरहाल, न्यूमेनोर ने दूसरा रास्ता चुना है।	అయినా, న్యూమెనోర్ మరో మార్గం ఎంచుకుంది.
पूरे न्यूमेनोर ने नहीं।	న్యూమెనోర్ అంతా కాదు.
चाहे राजा हो या बढ़ई, उस दक्षिणवासी को न्याय का सामना करना होगा।	రాజు లేదా వడ్రంగి, సౌత్‌ల్యాండర్ తీర్పును ఎదుర్కొంటుంది.
यह मुलाकात ख़त्म होती है।	ఈ సమావేశం ఇక ముగిసింది.
फिर दूसरी मुलाकात की गुहार करने के अलावा कोई चारा नहीं है।	నాకు ఇక మరో ఎంపిక లేదు, మరొకరిని అడగడం మినహా.
न्यूमेनोर के असली शासक के साथ।	న్యూమెనోర్ నిజమైన పాలకులతో ఒకరు.
आपके पिता, राजा।	మీ తండ్రి, రాజు.
उन मामलों पर बात मत करो जिनकी समझ तुम्हें नहीं,	నీకు అర్థంకాని విషయాలు నువ్వు మాట్లాడకూడదు,
गैलाड्रिएल, फनर्फ़िन की पुत्री।	గాలాడ్రియల్, ఫినార్ఫిన్ పుత్రిక.
आपको हट जाना चाहिए,	మిరు పక్కకు తప్పుకుంటే,
ताकि प्रस्ताव उसके सामने रखूँ जो उत्तर देने का अधिकारी है।	దానికి జవాబు ఇవ్వగల అధికారం ఉన్నవారికి ప్రతిపాదించుతాను.
गैलाड्रिएल, बस...	గాలాడ్రియల్ ఇది చాలు.
और तुम किस अधिकार से यह बोल रही हो, एल्फ़?	మరి నువ్వు ఏ అధికారంతో మాట్లాడుతున్నావు, ఎల్ఫ్?
अपने लोगों के अधिकार से?	మీ ప్రజలదా?
या तुम समुद्र में खोई, तूफ़ान में तिनके के सहारे को तड़प रही हो?	లేదా తుఫానులో సహాయాన్ని ఆత్రంగా అందుకోవాలని అనుకునే పరిత్యక్తవా?
मेरे अंदर एक तूफ़ान है।	నాలో తుఫాను ఉంది.
जो मुझे किसी कारण ही इस द्वीप के किनारे लाया था।	ఏదో కారణం నన్ను ఈ ద్వీపానికి లాక్కొచ్చింది.
और इस तूफ़ान को तुम नहीं शांत कर पाओगी, राजरानी।	అది మీరు అణిచివేయలేరు, రిజెంట్.
मैं बताता हूँ।	నన్ను చెప్పనీ.
शराबखाने में झगड़ा?	సత్రంలో గొడవా?
राजद्रोह।	తిరుగుబాటు.
तुमने लगभग इम्तिहान पार कर लिया!	మీరు అది దాదాపుగా చేసేశారు!
कुछ ही दिनों में,	ఇంకొన్ని రోజుల్లో,
मुझे तुम सबको साथी नाविक बुलाने का सौभाग्य मिलेगा।	మీ తోటి ప్రయాణీకులు అందరినీ సాదరంగా ఆహ్వానిస్తున్నాను.
अब खींचो, कैडेट! खींचो!	ఆపండి, సైనికులారా! లాగండి!
इसिल्डर...	ఇసిల్‌డ్యూర్...
अब खींचो, कैडेट!	పక్కకు ఆపండి, సైనికులారా!
खींचो!	ఆపండి!
रस्सी!	తాడు లాగండి!
अपनी सफ़ाई दो।	వివరంగా చెప్పు.
साहब, कोई ग़लती हुई होगी।	అయ్యా, ఏదో పొరపాటు జరిగుండాలి.
वह मेरी ग़लती थी, उस्ताद जी।	అది నా తప్పు, సముద్ర గురువుగారు.
रस्सी मुझसे छूटी।	అది జారవిడిచాను.
तुम्हें सैकड़ों बार उस रस्सी पर पकड़ छोड़ते हुए देखा है	నువ్వు ఓడ తాడును వందసార్లు సరిగా సులభంగా లాగడం చూశాను.
यह हरकत जानबूझकर की गई थी।	అది కావాలని చేసింది.
समुद्र रक्षक दल से बाहर हो!	సముద్ర రక్షకులుగా తప్పుకోండి!
तुम तीनों!	మీ ముగ్గురూ!
"""पश्चिम में""? असली न्यूमेनोर?"	"""పశ్చిమమా""? ""అసలైన న్యూమెనోర్""?"
फिर से वही बकवास जो तुम्हारा भाई किया करता था!	నీ సోదరుడు చెత్త వాగుడు, మళ్ళీ వాగుతున్నాడు!
मुझे लगा कि उस्ताद बस मुझे बर्खास्त करेंगे।	ఓడ నాయకుడు నన్నే తొలగిస్తాడని అనుకున్నాను.
मुझे अफ़सोस है।	క్షమించండి.
तुम्हें अफ़सोस है?	క్షమించాలా?
तुम्हें अफ़सोस है? तुमने हम सबकी ज़िंदगियों में आग लगा दी।	క్షమించాలా? మా జీవితాలను మొత్తం మంట గలిపావు!
पात्र कहाँ गया? मुझे उल्टी आ रही है।	ఆ మలవిసర్జన పాత్ర ఏది? నాకు నతలగా ఉంటుంది.
मैं पिताजी से बात करूँगा।	మా నాన్నతో మాట్లాడతాను.
-तुम दोनों को बहाल कराऊँगा। -नहीं।	- ఇద్దరినీ చేర్పిస్తా. - వద్దు.
तुमको उस जगह से निकाला गया	ముందుగా నీదికాని దానినుండి
जिस जगह के तुम लायक ही नहीं थे।	స్వంతంగా నువ్వే బహిష్కరించబడగలవు.
- वेलांडिल... - नहीं।	- వ్యాలాండిల్... - వద్దు.
जब से चप्पू पकड़ने लायक हुआ, तब से नाव में काम करना चाहता था।	తెడ్డును పట్టుకునేంత వయస్సు నుండి నేను ఆ పడవలో ఉండాలి.
उसके लायक बनने के लिए मैंने सबकुछ किया। और तुमने क्या किया?	దానికోసం చేయాల్సినవన్నీ చేశాను. మరి నువ్వు ఏం చేశావు?
मरी हुई माँ के बारे में रोने और बड़बड़ करने के अलावा कुछ नहीं।	మీ చనిపోయిన అమ్మ గురించి చింతిస్తూ, మాట్లాడడం మాత్రమే చేశావు.
बस करो! बहुत हुआ!	ఆపు! చాలు!
हाँ, वही पुराना इसिल दूर जाता हुआ।	అవును, అదే పాత ఇసిల్ వెళ్ళిపోతున్నాడు.
इसिल! तुम कहाँ जा रहे हो?	ఇసిల్! ఎక్కడికి వెళ్ళిపోతున్నావు?
जाऊँ, रुकूँ, कोई फ़र्क पड़ता है?	వెళ్ళిపోయినా, ఉన్నా, మీకేంటి?
असली समस्या वह है। और वह कहीं नहीं जाने वाला।	అసలైన సమస్య అతనే. అది మాత్రం ఎక్కడికీ పోదు.
मैग्रोट!	మాగ్రోత్!
अदार...	అడార్...
अदार...	అడార్...
हिम्मत से मरो।	శక్తివంతంగా చావాలి.
हिम्मत से मरो।	శక్తివంతంగా చావాలి.
तुम कहाँ पैदा हुए थे...	ఎక్కడ పుట్టావు,
सिपाही?	సైనికుడా?
बेलेरियैंड में।	బెలెరియాండ్.
नदी मुख के पास?	నదీ సంగమం దగ్గరా?
तुम कौन हो?	ఎవరు నువ్వు?
एक बार मैं उस नदी के तट पर गया था...	నేను ఒకసారి ఆ దిగువకు వెళ్ళాను...
जब मैं छोटा था।	నా చిన్నతనంలో.
मुझे याद है कि...	నాకు గుర్తుంది...
उसके किनारे कपूर के फूलों से ढके हुए थे।	తీరం అంతా సేజ్ పువ్వులతో నిండిపోయింది.
मीलों तक।	ఎన్నో మైళ్ళు.
ऑर्क्स तुम्हें पितृदेव क्यों कहते हैं?	ఓర్క్స్ మిమ్మల్ని తండ్రీ అని ఎందుకంటారు?
तुमसे कई झूठ बोले गए हैं।	నీకు చాలా అబద్ధాలు చెప్పబడ్డాయి.
कुछ तो इतनी गहराई तक जाते हैं,	అవి ఎంత లోతైనవి అంటే,
कि चट्टानें और जड़ें भी अब उन पर विश्वास करने लगी हैं।	రాళ్ళు, వేర్లు కూడా వాటిని ఇప్పుడు నమ్ముతున్నాయి.
उन सबको सुलझाने के लिए...	చిక్కుముడి విప్పేందుకు...
एक नई दुनिया के निर्माण की आवश्यकता होगी।	చేయాల్సిందల్లా కొత్త ప్రపంచాన్ని సృష్టించడమే.
लेकिन यह तो केवल देवता ही कर सकते हैं।	కానీ అది దేవుళ్ళు మాత్రమే చేయగలిగింది.
और मैं कोई देवता नहीं हूँ। कम से कम...	నేను దేవుడ్ని కాను. కనీసం...
अभी तक तो नहीं।	ఇప్పటికైతే కాదు.
तुम क्या हो?	నువ్వు ఏంటి?
उन मनुष्यों के पास जाओ जिन्होंने पुरानी रक्षामीनार में पनाह ली।	పాత కాపలాకోటలో ఆశ్రయం పొందిన మనుషుల దగ్గరకు వెళ్ళు.
उन्हें मेरा एक संदेश देना।	వాళ్ళకు ఒక సందేశం అందించు.
कैसा संदेश?	ఏం సందేశం?
सभी बैरेक भर चुके हैं। जहाँ जगह मिले वहीं डेरा जमा लो।	సేనాశిబిరాలు ఇప్పటికే నిండిపోయాయి. వీలైన చోటే శిబిరం వేసుకోండి.
- यह झुंड कहाँ से आया है? - इओर्बाद।	- వీళ్ళంతా ఎక్కడ నుండి వచ్చారు? - ఇయోర్‌బడ్.
मतलब यहाँ से लेकर ओरोड्रुइन तक के सब गाँव आ चुके हैं।	ఇక్కడ నుండి ప్రతి ఊరు ఓరోడ్రుయిన్‌కు వెళుతుంది.
बाकी के कहाँ हैं?	మిగిలినవి ఏవి?
बस इतने ही हैं।	అదే మిగిలినది.
फिर राशन में कटौती करनी होगी।	మళ్ళీ ఆహారంలో కోత పెట్టాలి.
मेरे राशन में कटौती न करना।	నువ్వు నా ఆహారం తగ్గించవు.
